ref_authors,ref_code,ref_year,ref_title,ref_journal,ref_abstract,ref_query,ref_pmid,ref_notes,,prisma_coder1,prisma_coder2,prisma_excluded_screening,prisma_excluded_screening_reason,prisma_check_full_text,prisma_excluded_fulltext,prisma_excluded_fulltext_reason,prisma_included_sysreview,prisma_included_meta,prisma_excluded_meta_reason,prisma_metacoder1,prisma_metacoder2,prisma_note,,study_desc,study_type,study_relevant_data,,sample_total,sample_exclusion,sample_npergroup,sample_clinical,sample_clinicalgroup,sample_design,sample_justification,sample_justification_note,sample_notes,,eeg_system,eeg_software,eeg_numelec,eeg_reference,eeg_samplingrate,eeg_eog,eeg_notes,,ecg_system,ecg_numelec,ecg_montage,eeg_samplingrate,ecg_notes,,preproc_highpass,preproc_lowpass,preproc_addfilter,preproc_art_ICA,preproc_art_thresh,preproc_art_visual,preproc_art_eogcorr,preproc_art_reportleft,preproc_art_percemoved,preproc_ecg_correction,preproc_ecg_corr_method,preproc_timelock,prerproc_epochstart,preproc_epochend,preproc_base_startend,preproc_baseline,preproc_notes,,task_conditions,task_numfactors,task_epochsperconditions,task_notes,,hep_scoring,hep_timewin,hep_timewin_just,hep_timewinnum,hep_locations,hep_location_just,hep_locationsnum,hep_clusters,hep_numclusters,hep_circularity,hep_notes,,comp_tests,comp_parameteric,comp_numfactors,comp_numcells,comp_numanovas,comp_correction_main,comp_correction_posthoc,comp_sphericity,comp_hypostring,comp_judghypo,comp_effectsize,comp_exhaust,comp_notes,,corr_tests,corr_parameteric,corr_numcorr,corr_measure,corr_exhaust,corr_locations,corr_location_just,corr_correction,corr_hypostring,corr_judghypo,corr_corrftoz,corr_notes,,meta_attention,meta_correlation,meta_group,meta_arousal,meta_training,meta_ecg,meta_brain
"Yuan, Yan, Xu, Han, Yan",Yuan2007,2007,Effect of heartbeat perception on heartbeat evoked potential waves.,Neuroscience bulletin,OBJECTIVE: Early researches found that different heartbeat perceivers have different heartbeat evoked potential (HEP) waves. Two tasks were considered in our experiments to get more details about the differences between good and poor heartbeat perceivers at attention and resting state.METHODS: Thirty channels of electroencephalogram (EEG) were recorded in 22 subjects  who had been subdivided into good and poor heartbeat perceivers by mental tracking task. Principal component analysis (PCA) was applied to remove cardiac field artifact (CFA) from the HEP.RESULTS: (1) The good heart-beat perceivers showed difference between attention and resting state in the windows from 250 ms to 450 ms after R wave at C3 location and from 100 ms to 300 ms after R wave at C4 location; (2) The difference waveforms between good and poor heartbeat perceivers was a positive waveform at FZ from 220 ms to 340 ms after R wave  which was more significant in attention state.CONCLUSION: Attention state had more effect on the HEPs of good heartbeat perceivers than that of poor heartbeat perceivers; and perception ability influenced HEPs more strongly in the attention state than in the resting state.,heartbeat-evoked[All Fields] AND potential[All Fields],18064066,,,JM,HH,0,,1,0,,1,1,,HH,JM,,,good vs bad hbcounting; hbcounting vs rest,"intero.attention, intero.group",good vs bad; hbcounting vs rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baumert, Pamula, Kohler, Martin, Kennedy, Nalivaiko, Immanuel",,2016,Effect of respiration on heartbeat-evoked potentials during sleep in children with sleep-disordered breathing.,Sleep medicine,OBJECTIVE: Heartbeat-evoked potentials (HEPs) in electroencephalogram (EEG) provide a quantitative measure of cardiac interoception during sleep. We previously reported reduced HEPs in children with sleep-disordered breathing (SDB)  indicative of attenuated cardiac information processing. The objective of this study was to investigate the link between HEP and respiration.METHODS: From the overnight polysomnograms of 40 healthy children and 40 children with SDB  we measured HEPs during epochs of stage 2  slow-wave and rapid eye movement (REM) sleep free of abnormal respiratory events. HEPs were analysed with respect to respiratory phase.RESULTS: We observed a marked association between respiratory phase and HEP in children with SDB during REM sleep  but not in normal children. In children with SDB  HEP waveforms were attenuated during expiration compared to inspiration. Following adenotonsillectomy  expiratory HEP peak amplitude increased in the SDB children and was no longer different from those of normal children.CONCLUSIONS: The expiratory phase of respiration is primarily associated with attenuated cardiac information processing in children with SDB  establishing a pathophysiological link between breathing and HEP attenuation.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",25912598,,,MP,HH,0,,1,1,children only,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Godefroid, Pourtois, Wiersema",,2016,Joint effects of sensory feedback and interoceptive awareness on conscious error detection: Evidence from event related brain potentials.,Biological psychology,Error awareness has been argued to depend on sensory feedback and interoceptive awareness (IA) (Ullsperger  Harsay  Wessel  &amp; Ridderinkhof  2010). We recorded EEG while participants performed a speeded Go/No-Go task in which they signaled error commission. Visibility of the effector was manipulated  while IA was measured with a heartbeat perception task. The late Pe was larger for aware than unaware errors. The ERN was also found to be modulated by error awareness  but only when the hand was visible  suggesting that its sensitivity to error awareness depends on the availability of visual sensory feedback. Only when the response hand was visible  the late Pe amplitude to aware errors correlated with IA  suggesting that sensory feedback and IA synergistically contribute to the emergence of error awareness. These findings underscore the idea that several sources of information accumulate in time following action execution in order to enable errors to break through and reach awareness. ,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",26738634,,,MP,HH,0,,1,1,don't measure HEP just ERN,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Herbert, Pollatos, Schandry",,2007,Interoceptive sensitivity and emotion processing: an EEG study.,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,Theories of emotion consider the self-perception of visceral activity to play an important role in emotion. This study examined the relationship between interoceptive sensitivity and both the subjective emotional experience and the processing of emotional pictures. According to their results in a heartbeat detection task subjects were classified as good (N = 17) or poor (N = 20) heartbeat perceivers. Event-related potentials were recorded while subjects viewed pleasant  neutral and unpleasant pictures and SAM ratings were examined. Good heartbeat perceivers showed significantly greater P300 and slow wave amplitudes for emotional pictures at antero-inferior  medial and posterior electrode sites and experienced a greater arousal for emotional pictures compared to poor heartbeat perceivers. The heartbeat perception score correlated significantly positive both with emotional P300 and slow wave amplitudes as well as with the arousal ratings for emotional pictures. The results indicate that there is a significant and strong association between interoceptive sensitivity and the intensity of emotional experience as well as the central processing of emotional stimuli.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",17543405,,,MP,HH,0,,1,1,don't measure HB locked ERPs just stimulus locked,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heydrich, Aspell, Marillier, Lavanchy, Herbelin, Blanke",,2018,Cardio-visual full body illusion alters bodily self-consciousness and tactile processing in somatosensory cortex.,Scientific reports,Prominent theories highlight the importance of bodily perception for self-consciousness  but it is currently not known whether this is based on interoceptive or exteroceptive signals or on integrated signals from these anatomically distinct systems  nor where in the brain such integration might occur. To investigate this  we measured brain activity during the recently described 'cardio-visual full body illusion' which combines interoceptive and exteroceptive signals  by providing participants with visual exteroceptive information about their heartbeat in the form of a periodically illuminated silhouette outlining a video image of the participant's body and flashing in synchrony with their heartbeat. We found  as also reported previously  that synchronous cardio-visual signals increased self-identification with the virtual body. Here we further investigated whether experimental changes in self-consciousness during this illusion are accompanied by activity changes in somatosensory cortex by recording somatosensory evoked potentials (SEPs). We show that a late somatosensory evoked potential component (P45) reflects the illusory self-identification with a virtual body. These data demonstrate that interoceptive and exteroceptive signals can be combined to modulate activity in parietal somatosensory cortex.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",29915337,,,MP,HH,0,,1,1,don't measure HB locked ERPs; SEP only,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holm, Lukander, Korpela, Sallinen, Müller",,2009,Estimating brain load from the EEG.,TheScientificWorldJournal,Modern work requires cognitively demanding multitasking and the need for sustained vigilance  which may result in work-related stress and may increase the possibility of human error. Objective methods for estimating cognitive overload and mental fatigue of the brain on-line  during work performance  are needed. We present a two-channel electroencephalography (EEG)-based index  theta Fz/alpha Pz ratio  potentially implementable into a compact wearable device. The index reacts to both acute external and cumulative internal load. The index increased with the number of tasks to be performed concurrently (p = 0.004) and with increased time awake  both after normal sleep (p = 0.002) and sleep restriction (p = 0.004). Moreover  the increase of the index was more pronounced in the afternoon after sleep restriction (p = 0.006). As a measure of brain state and its dynamics  the index can be considered equivalent to the heartbeat  an indicator of the cardiovascular state  thus inspiring the name &quot;brainbeat&quot;.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",19618092,,,MP,HH,0,,1,1,don't measure HB locked ERPs just stimulus locked,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Immanuel, Pamula, Kohler, Martin, Kennedy, Nalivaiko, Saint, Baumert",,2015,Heartbeat evoked potentials during sleep and daytime behavior in children with sleep-disordered breathing.,American journal of respiratory and critical care medicine,RATIONALE: Event-related brain potentials allow probing of cortical information processing  but when evoked with externally induced stimuli may disrupt sleep homeostasis and do not provide insight into intrinsic cortical information processing. To investigate if cortical processing of intrinsic information in children with sleep-disordered breathing (SDB) is different from healthy children and  if so  whether it resolves with treatment  we used heartbeat as a source of interoceptive event-related brain potentials.OBJECTIVES: To investigate heartbeat evoked potentials (HEP) during sleep in healthy children and in children with SDB before and after treatment and to explore if there are any associations between HEP and daytime behavioral deficits in children with SDB.METHODS: Heartbeat-aligned EEG was assessed for presence of HEP within stage 2  slow-wave sleep  and REM sleep in 40 children with primarily mild to moderate SDB before and after adenotonsillectomy and in 40 matched control subjects at similar time points.MEASUREMENTS AND MAIN RESULTS: In both groups  nonrandom HEP were present in all sleep stages analyzed; however  amplitude of HEP were significantly lower in children with SDB during non-REM sleep (stage 2: P = 0.03; slow-wave sleep: P = 0.001). This between-group difference was not significant post adenotonsillectomy. Significant negative associations between HEP and daytime behavioral scores were observed at baseline.CONCLUSIONS: Children with SDB displayed reduced HEP amplitude during sleep  which might be indicative of changes in afferent sensory inputs to the brain and/or signify differences in sensory gating of cardiac-related information in the insular cortex. Adenotonsillectomy appears to reverse this effect.,heartbeat-evoked[All Fields] AND potential[All Fields],25317937,,,MP,HH,0,,1,1,children only,0,0,,,,"3-13 years, Exlcude because mostly children?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ishii, Canuet",,2012,Heartbeat evoked potentials: a new possible clinical biomarker for depression based on the somatic marker hypothesis.,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",22502951,,,MP,HH,0,,1,1,editorial,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kern, Aertsen, Schulze-Bonhage, Ball",,2014,"Heart cycle-related effects on event-related potentials, spectral power changes, and connectivity patterns in the human ECoG.",NeuroImage,The perception of one's own heartbeat is a fundamental interoceptive process that involves cortical and subcortical structures. Yet  the precise spatiotemporal neuronal activity patterns underlying the cortical information processing have remained largely elusive. Although the high temporal and spatial resolution of electrocorticographic (ECoG) recordings is increasingly being exploited in functional neuroimaging  it has not been used to study heart cycle-related effects. Here  we addressed the capacity of ECoG to characterize neuronal signals within the cardiac cycle  as well as to disentangle them from heart cycle-related artifacts. Based on topographical distribution and latency  we identified a biphasic potential within the primary somatosensory cortex  which likely constitutes a heartbeat-evoked potential (HEP) of neuronal origin. We also found two different types of artifacts: i) oscillatory potential changes with a frequency identical to the heart pulse rate  which probably represent pulsatility artifacts and ii) sharp potentials synchronized to the R-peak  corresponding to the onset of ventricular contraction and the cardiac field artifact (CFA) in EEG. Finally  we show that heart cycle-related effects induce pronounced phase-synchrony patterns in the ECoG and that this kind of correlation patterns  which may confound ECoG connectivity studies  can be reduced by a suitable correction algorithm. The present study is  to our knowledge  the first one to show a focally localized cortical HEP that could be clearly and consistently observed over subjects  suggesting a basic role of primary sensory cortex in processing of heart-related sensory inputs. We also conclude that taking into account and reducing heart cycle-related effects may be advantageous for many ECoG studies  and are of crucial importance  particularly for ECoG-based connectivity studies. Thus  in summary  although ECoG poses new challenges  it opens up new possibilities for the investigation of heartbeat-related viscerosensory processing in the human brain. ,heartbeat-evoked[All Fields] AND potential[All Fields],23684883,,,MP,HH,0,,1,1,ECOG only,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maister, Tang, Tsakiris",,2018,Neurobehavioral evidence of interoceptive sensitivity in early infancy.,eLife,Interoception  the sensitivity to visceral sensations  plays an important role in homeostasis and guiding motivated behaviour. It is also considered to be fundamental to self-awareness. Despite its importance  the developmental origins of interoceptive sensitivity remain unexplored. We here provide the first evidence for implicit  flexible interoceptive sensitivity in 5 month old infants using a novel behavioural measure  coupled with an established cortical index of interoceptive processing. These findings have important implications for the understanding of the early developmental stages of self-awareness  self-regulation and socio-emotional abilities.,heartbeat-evoked[All Fields] AND potential[All Fields],28784203,,,MP,JM,0,,1,1,infants only,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCraty, Atkinson, Bradley",,2004,Electrophysiological evidence of intuition: part 1. The surprising role of the heart.,"Journal of alternative and complementary medicine (New York, N.Y.)",OBJECTIVES: This study aims to contribute to a scientific understanding of intuition  a process by which information normally outside the range of conscious awareness is perceived by the psychophysiological systems. The first objective  presented in two empirical papers (Part 1 and Part 2)  was to replicate and extend the results of previous experiments demonstrating that the body can respond to an emotionally arousing stimulus seconds before it is actually experienced. The second objective  to be presented in a third paper (Part 3)  is to develop a theory that explains how the body receives and processes information involved in intuitive perception.DESIGN: The study used a counterbalanced crossover design  in which 30 calm and 15 emotionally arousing pictures were presented to 26 participants under two experimental conditions: a baseline condition of normal psychophysiologic function and a condition of physiological coherence. Primary measures included: skin conductance; the electroencephalogram (EEG)  from which cortical event-related potentials and heartbeat-evoked potentials were derived; and the electrocardiogram (ECG)  from which cardiac decelerations/accelerations were derived. These measures were used to investigate where and when in the brain and body intuitive information is processed.RESULTS: The study's results are presented in two parts. The main findings in relation to the heart's role in intuitive perception presented here are: (1) surprisingly  the heart appears to receive and respond to intuitive information; (2) a significantly greater heart rate deceleration occurred prior to future emotional stimuli compared to calm stimuli; (3) there were significant gender differences in the processing of prestimulus information. Part 2 will present results indicating where in the brain intuitive information is processed and data showing that prestimulus information from the heart is communicated to the brain. It also presents evidence that females are more attuned to intuitive information from the heart.CONCLUSIONS: Overall  we have independently replicated and extended previous research documenting prestimulus responses. It appears that the heart is involved in the processing and decoding of intuitive information. Once the prestimulus information is received in the psychophysiologic systems  it appears to be processed in the same way as conventional sensory input. This study presents compelling evidence that the body's perceptual apparatus is continuously scanning the future. To account for the results presented in Parts 1 and 2  Part 3 will develop a theory based on holographic principles explaining how intuitive perception accesses a field of energy into which information about future events is spectrally enfolded.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",15025887,,,MP,JM,0,,1,1,HEP will be reported in part 2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medvedev, Kainerstorfer, Borisov, Barbour, VanMeter",,2009,Event-related fast optical signal in a rapid object recognition task: improving detection by the independent component analysis.,Brain research,Noninvasive recording of fast optical signals presumably reflecting neuronal activity is a challenging task because of a relatively low signal-to-noise ratio. To improve detection of those signals in rapid object recognition tasks  we used the independent component analysis (ICA) to reduce &quot;global interference&quot; (heartbeat and contribution of superficial layers). We recorded optical signals from the left prefrontal cortex in 10 right-handed participants with a continuous-wave instrument (DYNOT  NIRx  Brooklyn  NY). Visual stimuli were pictures of urban  landscape and seashore scenes with various vehicles as targets (target-to-non-target ratio 1:6) presented at ISI=166 ms or 250 ms. Subjects mentally counted targets. Data were filtered at 2-30 Hz and artifactual components were identified visually (for heartbeat) and using the ICA weight matrix (for superficial layers). Optical signals were restored from the ICA components with artifactual components removed and then averaged over target and non-target epochs. After ICA processing  the event-related response was detected in 70%-100% of subjects. The refined signal showed a significant decrease from baseline within 200-300 ms after targets and a slight increase after non-targets. The temporal profile of the optical signal corresponded well to the profile of a &quot;differential ERP response&quot;  the difference between targets and non-targets which peaks at 200 ms in similar object detection tasks. These results demonstrate that the detection of fast optical responses with continuous-wave instruments can be improved through the ICA method capable to remove noise  global interference and the activity of superficial layers. Fast optical signals may provide further information on brain processing during higher-order cognitive tasks such as rapid categorization of objects.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",18725213,,,MP,JM,0,,1,1,no HEP measures,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noury, Hipp, Siegel",,2018,Physiological processes non-linearly affect electrophysiological recordings during transcranial electric stimulation.,NeuroImage,Transcranial electric stimulation (tES) is a promising tool to non-invasively manipulate neuronal activity in the human brain. Several studies have shown behavioral effects of tES  but stimulation artifacts complicate the simultaneous investigation of neural activity with EEG or MEG. Here  we first show for EEG and MEG  that contrary to previous assumptions  artifacts do not simply reflect stimulation currents  but that heartbeat and respiration non-linearly modulate stimulation artifacts. These modulations occur irrespective of the stimulation frequency  i.e. during both transcranial alternating and direct current stimulations (tACS and tDCS). Second  we show that  although at first sight previously employed artifact rejection methods may seem to remove artifacts  data are still contaminated by non-linear stimulation artifacts. Because of their complex nature and dependence on the subjects' physiological state  these artifacts are prone to be mistaken as neural entrainment. In sum  our results uncover non-linear tES artifacts  show that current techniques fail to fully remove them  and pave the way for new artifact rejection methods. ,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",27039705,,,MP,JM,0,,1,1,no analyses of the heartbeat locked ERp,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pollatos, Gramann, Schandry",,2007,Neural systems connecting interoceptive awareness and feelings.,Human brain mapping,In many theories of emotions the representations of bodily responses play an important role for subjective feelings. We tested the hypothesis that the perception of bodily states is positively related to the experienced intensity of feelings as well as to the activity of first-order and second-order brain structures involved in the processing of feelings. Using a heartbeat perception task  subjects were separated into groups with either high or poor interoceptive awareness. During emotional picture presentation we measured high-density EEG and used spatiotemporal current density reconstruction to identify regions involved in both interoceptive awareness and emotion processing. We observed a positive relation between interoceptive awareness and the experienced intensity of emotions. Furthermore  the P300 amplitudes to pleasant and unpleasant pictures were enhanced for subjects with high interoceptive awareness. The source reconstruction revealed that interoceptive awareness is related to an enhanced activation in both first-order structures (insula  somatosensory cortices) and second-order structures (anterior cingulate  prefrontal cortices). We conclude that the perception of bodily states is a crucial determinant for the processing and the subjective experience of feelings.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",16729289,,,MP,JM,0,,1,1,don't measure HB locked ERPs just stimulus locked,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pollatos, Kirsch, Schandry",,2006,"On the relationship between interoceptive awareness, emotional experience, and brain processes.",Brain research. Cognitive brain research,The perception of visceral signals plays a crucial role in many theories of emotions. The present study was designed to investigate the relationship between interoceptive awareness and emotion-related brain activity. 44 participants (16 male  28 female) first underwent a heartbeat perception task and then were categorised either as good (n = 22) or poor heartbeat perceivers (n = 22). A total of 60 different pictures (pleasant  unpleasant  neutral) from the International Affective Picture System served as emotional stimuli. EEG (61 electrodes) and EOG were recorded during slide presentation. After each slide  the subjects had to rate emotional valence and arousal on a 9-point self-report scale. Good heartbeat perceivers scored the emotional slides significantly more arousing than poor heartbeat perceivers; no differences were found in the emotional valence ratings. The visually evoked potentials of good and poor heartbeat perceivers showed significant differences in the P300 and in the slow-wave latency ranges. Statistical analyses revealed significantly higher P300 mean amplitudes for good heartbeat perceivers (averaged across all 60 slides) than for poor heartbeat perceivers. In the slow-wave range  this effect was found for affective slides only. Heartbeat perception scores correlated significantly and positively with both the mean arousal rating as well as with the mean amplitudes in the P300 time window and the slow-wave window. Our results demonstrate a strong relationship between the perception of cardiac signals and the cortical processing of emotional stimuli  as would be postulated for example by the James-Lange theory of emotions.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",16298111,,,MP,JM,0,,1,1,don't measure HB locked ERPs just stimulus locked,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pollatos, Matthias, Schandry",,2007,Heartbeat perception and P300 amplitude in a visual oddball paradigm.,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,OBJECTIVE: The perception of bodily signals (&quot;interoceptive awareness&quot;) was found to modulate evoked potential components  especially the P300  in response to emotional pictures and to internal signals. It remains an open question whether this variable is related to more elaborated information processing in general.METHODS: The present study investigated the relationship between heartbeat perception and the amplitude of the P300 to target stimuli in a visual oddball paradigm.RESULTS: Interoceptive awareness was positively correlated with the P300 amplitude at Cz which remained significant after controlling for anxiety differences.CONCLUSIONS: Our results demonstrate a positive relationship between interoceptive awareness and the attentive processing of visual stimuli.SIGNIFICANCE: Interoception is related to more elaborated information processing in general. This effect could be mediated by arousal differences and might rely on common neuroanatomical structures.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",17709296,,,MP,JM,0,,1,1,don't measure HB locked ERPs just stimulus locked,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porcaro, Zappasodi, Barbati, Salustri, Pizzella, Rossini, Tecchio",,2006,Fetal auditory responses to external sounds and mother's heart beat: detection improved by Independent Component Analysis.,Brain research,In this paper  we present a magnetoencephalographic study of the fetal auditory response to external stimuli and to the sound of the mother's heartbeat. We describe how an ad hoc functional selection procedure allowed us to isolate the sources in the fetal brain responding to sounds only  after the application to the recorded data of a standard Independent Component Analysis algorithm. In our experiment  acoustic stimuli were delivered to twelve healthy women with uncomplicated pregnancies at a time between 36 and 40 weeks gestational age  with their fetuses in breech presentation. Ultrasound images allowed determination of the region over the women's abdomen nearest to the fetal head  over which both the acoustic stimulator and the MEG sensors were subsequently placed. In 8 out of the 12 cases  our analysis provided consistent evidence of a fetal response both to the mother's heartbeat and to the external auditory stimulation; both were characterized by a clear prominent component at around 200 ms latency  which is widely accepted as the marker of the fetal response to auditory stimuli.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",16784726,,,MP,JM,0,,1,1,MEG only,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
